"order_id","product_id","quantity","revenue"
"O000001","P0008","2","2564.20"
"O000001","P0028","3","6306.72"
"O000001","P0025","2","2194.60"
"O000002","P0015","2","2069.72"
"O000002","P0001","4","24090.48"
"O000003","P0018","3","5161.77"
"O000003","P0014","4","2198.84"
"O000003","P0027","3","2554.02"
"O000003","P0002","2","5235.62"
"O000004","P0007","3","4700.88"
"O000004","P0005","5","13467.70"
"O000004","P0020","4","4347.60"
"O000004","P0002","5","13585.15"
"O000005","P0019","1","1489.64"
"O000005","P0020","4","4184.32"
"O000005","P0016","1","3335.17"
"O000006","P0003","2","5880.02"
"O000007","P0027","2","1638.78"
"O000007","P0020","3","3344.37"
"O000007","P0017","1","1166.49"
"O000008","P0010","1","2265.75"
"O000009","P0021","4","5870.92"
"O000009","P0030","1","2529.10"
"O000009","P0004","1","6274.79"
"O000010","P0015","3","2957.64"
"O000010","P0003","5","14748.70"
"O000010","P0008","3","4236.66"
"O000010","P0004","5","31184.40"
"O000011","P0024","4","4928.00"
"O000011","P0009","5","8002.80"
"O000011","P0011","3","3936.36"
"O000012","P0019","5","7969.65"
"O000012","P0008","2","2832.54"
"O000012","P0016","4","12952.40"
"O000012","P0005","2","6035.90"
"O000013","P0016","1","3161.49"
"O000014","P0024","4","5003.28"
"O000015","P0021","3","4324.50"
"O000016","P0012","5","3247.35"
"O000017","P0012","5","2834.35"
"O000017","P0013","1","3456.40"
"O000017","P0007","2","3269.60"
"O000018","P0019","3","4674.33"
"O000018","P0015","4","3773.68"
"O000019","P0025","3","3418.71"
"O000020","P0002","2","5579.82"
"O000020","P0024","4","5180.64"
"O000020","P0005","3","8915.70"
"O000020","P0019","3","4943.40"
"O000021","P0007","3","5156.70"
"O000021","P0021","2","2901.70"
"O000021","P0023","1","317.39"
"O000022","P0018","3","4990.29"
"O000022","P0015","4","4006.08"
"O000022","P0011","3","4024.02"
"O000023","P0026","1","1279.96"
"O000023","P0021","2","2975.44"
"O000024","P0010","4","8409.56"
"O000025","P0020","5","5218.55"
"O000025","P0001","1","5550.15"
"O000026","P0005","1","2737.08"
"O000026","P0020","4","4371.28"
"O000026","P0023","5","1580.15"
"O000027","P0002","4","10512.88"
"O000027","P0023","5","1430.50"
"O000028","P0014","5","2925.00"
"O000028","P0011","5","6519.95"
"O000028","P0009","5","7882.95"
"O000028","P0001","3","18052.80"
"O000029","P0016","5","15463.25"
"O000029","P0011","5","6925.70"
"O000029","P0003","1","2945.44"
"O000030","P0007","3","5214.42"
"O000031","P0027","1","848.69"
"O000032","P0027","1","836.07"
"O000032","P0026","5","6452.05"
"O000032","P0025","4","4696.96"
"O000032","P0003","1","2837.85"
"O000033","P0027","2","1528.30"
"O000033","P0010","4","9517.88"
"O000033","P0009","1","1727.10"
"O000033","P0004","4","24420.40"
"O000034","P0027","5","3985.00"
"O000035","P0028","1","2195.32"
"O000035","P0019","1","1475.04"
"O000036","P0008","1","1190.86"
"O000037","P0023","1","329.87"
"O000037","P0010","5","11957.55"
"O000037","P0009","5","8827.35"
"O000038","P0030","5","11646.15"
"O000038","P0021","3","4100.82"
"O000038","P0017","1","1183.51"
"O000038","P0007","2","3224.48"
"O000039","P0001","2","12092.50"
"O000039","P0002","1","2784.94"
"O000039","P0020","1","1154.23"
"O000039","P0005","5","15374.20"
"O000040","P0008","4","5358.96"
"O000040","P0010","1","2483.18"
"O000041","P0018","4","6290.76"
"O000042","P0028","1","2133.85"
"O000042","P0020","4","4267.52"
"O000042","P0021","4","5497.20"
"O000042","P0007","5","8466.00"
"O000043","P0005","2","5488.90"
"O000043","P0025","5","5512.65"
"O000043","P0014","3","1758.15"
"O000044","P0003","5","14593.05"
"O000044","P0016","2","6236.44"
"O000044","P0019","3","5002.32"
"O000044","P0027","3","2552.91"
"O000045","P0011","4","5622.28"
"O000045","P0017","1","1074.85"
"O000045","P0021","5","7615.65"
"O000045","P0003","5","14774.65"
"O000046","P0020","3","3152.67"
"O000046","P0013","2","7691.06"
"O000046","P0018","4","6433.72"
"O000046","P0002","1","2590.51"
