customer_id,recommended_product_id,score
C000001,P00575,0.1245
C000001,P00571,0.1238
C000001,P00225,0.1228
C000001,P00097,0.1192
C000001,P00162,0.1135
C000002,P00358,0.1257
C000002,P00189,0.1216
C000002,P00042,0.1195
C000002,P00442,0.1186
C000002,P00199,0.1151
C000003,P00242,0.1198
C000003,P00511,0.1197
C000003,P00051,0.1185
C000003,P00067,0.1155
C000003,P00020,0.1154
C000004,P00115,0.1763
C000004,P00254,0.1695
C000004,P00157,0.1626
C000004,P00448,0.1567
C000004,P00310,0.1548
C000005,P00599,0.1269
C000005,P00022,0.1185
C000005,P00547,0.1145
C000005,P00476,0.0935
C000005,P00118,0.0892
C000006,P00472,0.0916
C000006,P00012,0.0873
C000006,P00303,0.0821
C000006,P00038,0.0801
C000006,P00260,0.0795
C000007,P00256,0.1304
C000007,P00055,0.1191
C000007,P00038,0.1152
C000007,P00190,0.0907
C000007,P00025,0.0879
C000008,P00528,0.1958
C000008,P00493,0.1806
C000008,P00456,0.1356
C000008,P00348,0.1311
C000008,P00180,0.1278
C000009,P00476,0.1199
C000009,P00388,0.1182
C000009,P00048,0.1165
C000009,P00291,0.1161
C000009,P00233,0.0937
C000010,P00116,0.2068
C000010,P00022,0.1239
C000010,P00129,0.1235
C000010,P00239,0.1197
C000010,P00007,0.1194
C000011,P00116,0.1177
C000011,P00038,0.1132
C000011,P00316,0.0936
C000011,P00363,0.085
C000011,P00034,0.0844
C000012,P00269,0.1251
C000012,P00002,0.12
C000012,P00232,0.1162
C000012,P00086,0.1151
C000012,P00013,0.1123
C000013,P00578,0.1299
C000013,P00594,0.128
C000013,P00180,0.1221
C000013,P00319,0.1219
C000013,P00397,0.1177
C000014,P00582,0.1346
C000014,P00122,0.1278
C000014,P00135,0.1227
C000014,P00022,0.1219
C000014,P00219,0.1121
C000015,P00448,0.2015
C000015,P00382,0.1634
C000015,P00175,0.1543
C000015,P00147,0.1492
C000015,P00105,0.1275
C000016,P00376,0.1362
C000016,P00174,0.0919
C000016,P00365,0.0892
C000016,P00179,0.0866
C000016,P00235,0.0858
C000017,P00046,0.1588
C000017,P00420,0.1582
C000017,P00281,0.1527
C000017,P00280,0.1376
C000017,P00239,0.1352
C000018,P00082,0.1168
C000018,P00491,0.0942
C000018,P00116,0.0887
C000018,P00189,0.086
C000018,P00344,0.0852
C000019,P00540,0.1551
C000019,P00354,0.125
C000019,P00114,0.1207
C000019,P00267,0.1191
C000019,P00184,0.0895
C000020,P00385,0.128
C000020,P00162,0.0854
C000020,P00141,0.0834
C000020,P00496,0.0832
C000020,P00494,0.0828
C000021,P00135,0.1217
C000021,P00217,0.1216
C000021,P00107,0.1121
C000021,P00278,0.1085
C000021,P00063,0.1072
C000022,P00186,0.1295
C000022,P00434,0.1236
C000022,P00093,0.1226
C000022,P00225,0.1217
C000022,P00006,0.121
C000023,P00434,0.1633
C000023,P00097,0.1558
C000023,P00223,0.15
C000023,P00588,0.1262
C000023,P00570,0.1247
C000024,P00037,0.1779
C000024,P00009,0.1689
C000024,P00404,0.164
C000024,P00401,0.1617
C000024,P00281,0.1598
C000025,P00044,0.1319
C000025,P00310,0.1286
C000025,P00451,0.127
C000025,P00599,0.1265
C000025,P00323,0.1187
C000026,P00360,0.1265
C000026,P00240,0.1214
C000026,P00182,0.1183
C000026,P00186,0.0919
C000026,P00023,0.0879
C000027,P00083,0.1283
C000027,P00472,0.1231
C000027,P00129,0.1208
C000027,P00062,0.12
C000027,P00488,0.1133
C000028,P00300,0.1202
C000028,P00206,0.0958
C000028,P00269,0.0877
C000028,P00360,0.0826
C000028,P00321,0.0797
C000029,P00582,0.1291
C000029,P00379,0.1226
C000029,P00016,0.121
C000029,P00146,0.1158
C000029,P00144,0.1153
C000030,P00259,0.087
C000030,P00004,0.0836
C000030,P00273,0.083
C000030,P00310,0.0819
C000030,P00327,0.0808
C000031,P00496,0.1212
C000031,P00192,0.1157
C000031,P00534,0.1117
C000031,P00422,0.109
C000031,P00483,0.0865
